Date,Order,Unnamed: 2,Year,Month,Day,NGD,LDZ,GTP,IND,HDD,HDD-1,Rus,Workday,War,FR nuclear,DE wind,DE solar,THE price,DE IND index,EU storage,EU LNG,UK NL production,Norway sendout,African TAP,Is_Weekend_or_Holiday
2012/4/1,1,14,2012,4,1,260.4295612,127.1973755,7.23602687,125.9961588,16.26513944,15.0,290.7208,0,0,47682.0,4869.3,,24.3,96.9,44.94,1463.5,,,36.2617,1
2012/4/2,2,15,2012,4,2,270.5718106,133.4106162,11.1650356,125.9961588,14.25159363,16.26513944,295.6943105,1,0,51006.0,1087.1,,25.55,97.6090712,44.98,1958.9,,,64.5416,0
2012/4/3,3,15,2012,4,3,259.802266,120.8167532,12.98935399,125.9961588,11.84521912,14.25159363,298.9703063,1,0,50442.0,895.7,,24.55,97.61996934,45.07,2331.3,,,64.3773,0
2012/4/4,4,15,2012,4,4,252.3437672,114.7547963,11.59281211,125.9961588,12.58286853,11.84521912,304.895313,1,0,50989.0,5783.3,,24.8,97.63059769,45.15,2258.8,,,63.0718,0
2012/4/5,5,15,2012,4,5,259.333501,118.8203998,14.51694236,125.9961588,14.67111554,12.58286853,303.2650048,1,0,48934.0,2238.7,,25.025,97.64095784,45.25,2259.7,,,64.7125,0
2012/4/6,6,15,2012,4,6,244.0657814,111.8282428,6.24137976,125.9961588,15.54203187,14.67111554,303.015836,0,0,48758.0,447.8,,25.025,97.65105139,45.41,2097.1,,,69.9329,1
2012/4/7,7,15,2012,4,7,252.1702525,119.4367956,6.73729802,125.9961588,16.77808765,15.54203187,298.5115612,0,0,47601.0,10024.5,,25.025,97.66087995,45.59,1965.4,,,60.7271,1
2012/4/8,8,15,2012,4,8,253.0574617,119.2198255,7.84147742,125.9961588,18.1874502,16.77808765,295.9158459,0,0,46893.0,1168.3,,25.025,97.67044512,45.74,1981.1,,,55.8951,1
2012/4/9,9,16,2012,4,9,255.8929984,122.8207133,7.07612629,125.9961588,15.31533865,18.1874502,301.1395251,0,0,44731.0,8463.9,,25.025,97.67974849,45.87,2104.1,,,64.3008,1
2012/4/10,10,16,2012,4,10,236.2100456,99.30319985,10.91068692,125.9961588,9.550996016,15.31533865,297.2554581,1,0,47168.0,4536.2,,24.9,97.68879166,45.92,2101.9,,,79.56,0
